player,year,Team,cap number,Cash.Spent,Rank,ATT,YDS,Y.A,LG,X20.,TD,REC,TGT,YDS.1,Y.R,TD.1,FL,G,FPTS,FPTS.G,ROST,cap number_paired,age
Aaron Jones,2020,Packers,"$2,182,002",2133000.0,5,201,1104,5.5,77,6,9,47,63,355,7.6,2,0,14,211.9,15.1,96.7%,"$2,182,002",25.0
Aaron Jones,2021,Packers,"$4,464,706",14250000.0,13,171,799,4.7,57,5,4,52,65,391,7.5,6,1,15,177.0,11.8,96.7%,"$4,464,706",26.0
Aaron Jones,2022,Packers,"$5,948,000",5750000.0,11,213,1121,5.3,36,6,2,59,72,395,6.7,5,3,17,189.6,11.2,96.7%,"$5,948,000",27.0
Aaron Jones,2023,Packers,"$8,197,000",10682353.0,36,142,656,4.6,39,3,2,30,43,233,7.8,1,1,11,104.9,9.5,96.7%,"$8,197,000",28.0
Alexander Mattison,2020,Vikings,"$880,545",675000.0,50,96,434,4.5,25,4,2,13,15,125,9.6,1,0,13,73.9,5.7,57.3%,"$880,545",22.0
Alexander Mattison,2021,Vikings,"$1,055,545",850000.0,40,134,491,3.7,48,2,3,32,39,228,7.1,1,1,16,93.9,5.9,57.3%,"$1,055,545",23.0
Alexander Mattison,2022,Vikings,"$1,170,545",965000.0,51,74,283,3.8,15,0,5,15,18,91,6.1,1,0,17,73.4,4.3,57.3%,"$1,170,545",24.0
Alexander Mattison,2023,Vikings,"$2,400,000",3650000.0,38,180,700,3.9,21,1,0,30,44,192,6.4,3,2,16,103.2,6.5,57.3%,"$2,400,000",25.0
Alvin Kamara,2021,Saints,"$5,000,000",2000000.0,9,240,898,3.7,30,3,4,47,67,439,9.3,5,0,13,187.7,14.4,99.2%,"$5,000,000",26.0
Alvin Kamara,2022,Saints,"$6,128,000",11500000.0,18,223,897,4.0,27,3,2,57,77,490,8.6,2,4,15,154.7,10.3,99.2%,"$6,128,000",27.0
Alvin Kamara,2023,Saints,"$7,977,000",10820000.0,24,180,694,3.9,17,0,5,75,86,466,6.2,1,0,13,158.0,12.2,99.2%,"$7,977,000",28.0
