player,cap number,year,age
Aaron Jones,"$2,182,002",2020,25
Aaron Jones,"$4,464,706",2021,26
Aaron Jones,"$5,948,000",2022,27
Aaron Jones,"$8,197,000",2023,28
Alexander Mattison,"$880,545",2020,22
Alexander Mattison,"$1,055,545",2021,23
Alexander Mattison,"$1,170,545",2022,24
Alexander Mattison,"$2,400,000",2023,25
Alvin Kamara,"$5,000,000",2021,26
Alvin Kamara,"$6,128,000",2022,27
Alvin Kamara,"$7,977,000",2023,28
Ameer Abdullah,"$887,500",2020,27
Ameer Abdullah,"$566,667",2021,28
Ameer Abdullah,"$1,047,500",2022,29
Ameer Abdullah,"$1,750,000",2023,30
Antonio Gibson,"$896,843",2020,22
Antonio Gibson,"$1,121,054",2021,23
Antonio Gibson,"$1,345,265",2022,24
Antonio Gibson,"$3,029,843",2023,25
Austin Ekeler,"$5,000,000",2020,25
Austin Ekeler,"$5,750,000",2021,26
Austin Ekeler,"$7,000,000",2022,27
Austin Ekeler,"$7,750,000",2023,28
Bijan Robinson,"$3,992,462",2023,21
Boston Scott,"$750,000",2020,25
Boston Scott,"$920,000",2021,26
Boston Scott,"$1,750,000",2022,27
Boston Scott,"$1,212,360",2023,28
Brandon Bolden,"$2,000,000",2021,31
Brandon Bolden,"$2,130,000",2022,32
Brandon Bolden,"$2,880,000",2023,33
Breece Hall,"$1,639,049",2022,21
Breece Hall,"$2,048,811",2023,22
Brian Robinson Jr.,"$856,144",2022,23
Brian Robinson Jr.,"$1,146,569",2023,24
Caleb Huntley,"$502,500",2022,24
Cam Akers,"$1,122,371",2020,21
Cam Akers,"$1,402,964",2021,22
Cam Akers,"$1,683,557",2022,23
Cam Akers,"$1,290,470",2023,24
Chase Brown,"$754,873",2023,23
Chase Edmonds,"$863,089",2020,24
Chase Edmonds,"$1,033,089",2021,25
Chase Edmonds,"$1,111,111",2022,26
Chase Edmonds,"$1,092,500",2023,27
Chris Evans,"$703,222",2021,24
Chris Evans,"$868,222",2022,25
Chris Evans,"$983,222",2023,26
Chris Rodriguez Jr.,"$761,090",2023,24
Christian McCaffrey,"$7,794,782",2020,24
Christian McCaffrey,"$6,899,500",2021,25
Christian McCaffrey,"$690,000",2022,26
Christian McCaffrey,"$3,424,000",2023,27
Chuba Hubbard,"$838,293",2021,22
Chuba Hubbard,"$1,003,293",2022,23
Chuba Hubbard,"$1,118,293",2023,24
Clyde Edwards-Helaire,"$1,967,559",2020,21
Clyde Edwards-Helaire,"$2,459,449",2021,22
Clyde Edwards-Helaire,"$2,951,339",2022,23
Clyde Edwards-Helaire,"$3,443,229",2023,24
Cordarrelle Patterson,"$2,500,000",2022,31
Cordarrelle Patterson,"$5,500,000",2023,32
Corey Clement,"$825,000",2020,26
Corey Clement,"$850,000",2021,27
Corey Clement,"$397,778",2022,28
Corey Clement,"$398,166",2023,29
Craig Reynolds,"$64,906",2020,24
Craig Reynolds,"$141,667",2021,25
Craig Reynolds,"$937,222",2022,26
Craig Reynolds,"$940,000",2023,27
D'Andre Swift,"$1,552,530",2020,21
D'Andre Swift,"$1,940,663",2021,22
D'Andre Swift,"$2,328,796",2022,23
D'Andre Swift,"$1,774,399",2023,24
D'Ernest Johnson,"$675,000",2020,24
D'Ernest Johnson,"$850,000",2021,25
D'Ernest Johnson,"$1,216,500",2022,26
D'Ernest Johnson,"$1,092,500",2023,27
D'Onta Foreman,"$209,529",2020,24
D'Onta Foreman,"$397,059",2020,24
D'Onta Foreman,"$511,111",2021,25
D'Onta Foreman,"$2,000,000",2022,26
D'Onta Foreman,"$2,000,000",2023,27
Dalvin Cook,"$4,616,419",2020,25
Dalvin Cook,"$5,113,037",2021,26
Dalvin Cook,"$12,001,272",2022,27
Dalvin Cook,$0,2023,28
Dameon Pierce,"$847,747",2022,22
Dameon Pierce,"$1,098,858",2023,23
Dare Ogunbowale,"$675,000",2020,26
Dare Ogunbowale,"$850,000",2021,27
Dare Ogunbowale,"$1,450,000",2022,28
Dare Ogunbowale,"$1,550,000",2023,29
Darrel Williams,"$755,000",2020,25
Darrel Williams,"$1,594,118",2021,26
Darrel Williams,"$1,047,500",2022,27
Darrynton Evans,"$730,592",2020,22
Darrynton Evans,"$1,036,770",2021,23
Darrynton Evans,"$348,056",2022,24
Darrynton Evans,"$164,444",2023,25
David Montgomery,"$945,681",2020,23
David Montgomery,"$1,111,577",2021,24
David Montgomery,"$3,051,545",2022,25
David Montgomery,"$2,845,588",2023,26
DeeJay Dallas,"$733,600",2020,22
DeeJay Dallas,"$903,600",2021,23
DeeJay Dallas,"$1,018,600",2022,24
DeeJay Dallas,"$1,133,600",2023,25
Deon Jackson,"$366,667",2021,22
Deon Jackson,"$825,000",2022,23
Deon Jackson,"$84,000",2023,24
Derrick Gore,"$476,667",2021,26
Derrick Gore,"$145,000",2023,28
Derrick Henry,"$6,000,000",2020,26
Derrick Henry,"$13,500,000",2021,27
Derrick Henry,"$9,367,647",2022,28
Derrick Henry,"$16,367,647",2023,29
Deuce Vaughn,"$766,666",2023,22
Devin Singletary,"$933,956",2020,23
Devin Singletary,"$1,108,956",2021,24
Devin Singletary,"$2,798,956",2022,25
Devin Singletary,"$3,125,000",2023,26
Dontrell Hilliard,"$132,353",2020,25
Dontrell Hilliard,"$357,778",2021,26
Dontrell Hilliard,"$955,278",2022,27
Elijah Mitchell,"$705,893",2021,23
Elijah Mitchell,"$603,672",2022,24
Elijah Mitchell,"$985,893",2023,25
Emanuel Wilson,"$650,000",2023,24
Emari Demercado,"$755,000",2023,24
Eno Benjamin,"$805,679",2021,22
Eno Benjamin,"$198,889",2022,23
Eric Gray,"$744,579",2023,24
Evan Hull,"$527,912",2023,23
Ezekiel Elliott,"$10,900,000",2020,25
Ezekiel Elliott,"$6,820,000",2021,26
Ezekiel Elliott,"$18,220,000",2022,27
Ezekiel Elliott,"$3,000,000",2023,28
Gary Brightwell,"$677,496",2021,23
Gary Brightwell,"$869,718",2022,24
Gary Brightwell,"$984,718",2023,25
Gerrid Doaks,"$165,600",2021,23
Gus Edwards,"$750,000",2020,25
Gus Edwards,"$4,500,000",2022,27
Gus Edwards,"$2,794,000",2023,28
Hassan Haskins,"$878,052",2022,22
