Player,Year,Age,Cash.Spent
A.J. Brown,2020,23,751926.0
A.J. Brown,2021,24,1008852.0
A.J. Brown,2022,25,24220471.0
A.J. Brown,2023,26,11760000.0
A.T. Perry,2023,24,926364.0
Adam Thielen,2020,30,10000000.0
Adam Thielen,2021,31,11700000.0
Adam Thielen,2022,32,14353529.0
Adam Thielen,2023,33,10000000.0
Alec Pierce,2022,22,2685976.0
Alec Pierce,2023,23,1005061.0
Allen Lazard,2020,24,675000.0
Allen Lazard,2021,25,850000.0
Allen Lazard,2022,26,3986000.0
Allen Lazard,2023,27,12000000.0
Amari Cooper,2020,26,20000000.0
Amari Cooper,2021,27,20000000.0
Amari Cooper,2022,28,20000000.0
Amari Cooper,2023,29,20000000.0
Amon-Ra St. Brown,2021,22,1445260.0
Amon-Ra St. Brown,2022,23,825000.0
Amon-Ra St. Brown,2023,24,940000.0
Andrei Iosivas,2023,24,909392.0
Bo Melton,2023,24,41667.0
Brandin Cooks,2020,27,8000000.0
Brandin Cooks,2021,28,13147059.0
Brandin Cooks,2022,29,18382353.0
Brandin Cooks,2023,30,12000000.0
Brandon Aiyuk,2020,22,7283708.0
Brandon Aiyuk,2021,23,1179607.0
Brandon Aiyuk,2022,24,1749214.0
Brandon Aiyuk,2023,25,2318821.0
Braxton Berrios,2020,25,675000.0
Braxton Berrios,2021,26,850000.0
Braxton Berrios,2022,27,6500000.0
Braxton Berrios,2023,28,3470588.0
Byron Pringle,2020,26,630883.0
Byron Pringle,2021,27,2133000.0
Byron Pringle,2022,28,4080882.0
Byron Pringle,2023,29,1080000.0
Calvin Austin III,2023,24,750000.0
Calvin Ridley,2020,25,1470976.0
Calvin Ridley,2021,26,1966464.0
Calvin Ridley,2023,28,11116000.0
Cedric Tillman,2023,23,1830336.0
Cedrick Wilson Jr.,2020,24,675000.0
Cedrick Wilson Jr.,2021,25,2183000.0
Cedrick Wilson Jr.,2022,26,7750000.0
Cedrick Wilson Jr.,2023,27,5000000.0
CeeDee Lamb,2020,21,8359100.0
CeeDee Lamb,2021,22,1246819.0
CeeDee Lamb,2022,23,1883638.0
CeeDee Lamb,2023,24,2520457.0
Charlie Jones,2023,25,1312109.0
Chase Claypool,2020,22,2982100.0
Chase Claypool,2021,23,910756.0
Chase Claypool,2022,24,673062.0
Chase Claypool,2023,25,2327889.0
Chris Godwin,2020,24,2133000.0
Chris Godwin,2021,25,15983000.0
Chris Godwin,2022,26,20000000.0
Chris Godwin,2023,27,20000000.0
Chris Moore,2020,27,1672500.0
Chris Moore,2021,28,688611.0
Chris Moore,2022,29,1187500.0
Chris Moore,2023,30,1317500.0
Chris Olave,2022,22,11900908.0
Chris Olave,2023,23,1580994.0
Christian Kirk,2020,23,1015898.0
Christian Kirk,2021,24,2433000.0
Christian Kirk,2022,25,24000000.0
Christian Kirk,2023,26,16352941.0
Christian Watson,2022,23,4605744.0
Christian Watson,2023,24,1125047.0
Cooper Kupp,2020,27,7633000.0
Cooper Kupp,2021,28,13000000.0
Cooper Kupp,2022,29,30000000.0
Cooper Kupp,2023,30,20000000.0
Courtland Sutton,2020,25,1101994.0
Courtland Sutton,2021,26,8183000.0
Courtland Sutton,2022,27,12000000.0
Courtland Sutton,2023,28,14570588.0
Curtis Samuel,2020,24,1345044.0
Curtis Samuel,2021,25,13000000.0
Curtis Samuel,2022,26,10500000.0
Curtis Samuel,2023,27,10600000.0
Darius Slayton,2020,23,675000.0
Darius Slayton,2021,24,850000.0
Darius Slayton,2022,25,965000.0
Darius Slayton,2023,26,6200000.0
Darnell Mooney,2020,23,892048.0
Darnell Mooney,2021,24,780000.0
Darnell Mooney,2022,25,895000.0
Darnell Mooney,2023,26,2993000.0
Davante Adams,2020,27,13000000.0
Davante Adams,2021,28,13250000.0
Davante Adams,2022,29,43600000.0
Davante Adams,2023,30,6640000.0
David Bell,2022,21,1554020.0
David Bell,2023,22,934314.0
DeAndre Hopkins,2020,28,29000000.0
DeAndre Hopkins,2021,29,13750000.0
DeAndre Hopkins,2022,30,15083333.0
DeAndre Hopkins,2023,31,14000000.0
Demarcus Robinson,2020,26,2297500.0
Demarcus Robinson,2021,27,1127500.0
Demarcus Robinson,2022,28,1035000.0
Demarcus Robinson,2023,29,1165000.0
Devin Duvernay,2020,23,1497864.0
Devin Duvernay,2021,24,817992.0
Devin Duvernay,2022,25,1006000.0
