"Player","Year","Team","Cap.Number","Cash.Spent","Rank","REC","TGT","YDS","Y.R","LG","X20.","TD","ATT","YDS.1","TD.1","FL","G","FPTS","FPTS.G","ROST","REC_TGT_interaction"
"A.J. Brown",2020,"Titans","$1,284,629",751926,9,70,106,1075,15.4,73,13,11,0,0,0,1,14,177.5,12.7,"99.6%",0.660377358490566
"A.J. Brown",2021,"Titans","$1,541,555",1008852,32,63,105,869,13.8,57,10,5,2,10,0,0,13,117.9,9.1,"99.6%",0.6
"A.J. Brown",2022,"Eagles","$5,680,894",24220471,4,88,145,1496,17,78,23,11,0,0,0,2,17,211.6,12.4,"99.6%",0.606896551724138
"A.J. Brown",2023,"Eagles","$8,318,894",11760000,8,106,158,1456,13.7,59,21,7,0,0,0,2,17,183.6,10.8,"99.6%",0.670886075949367
"A.J. Green",2020,"Bengals","$17,971,000",17971000,75,47,104,523,11.1,33,3,2,0,0,0,0,16,64.3,4,"0.6%",0.451923076923077
"A.J. Green",2021,"Cardinals","$3,500,000",7e+06,43,54,92,848,15.7,42,16,3,0,0,0,0,16,102.8,6.4,"0.6%",0.58695652173913
"A.J. Green",2022,"Cardinals","$2,217,254",3500000,110,24,47,236,9.8,77,1,2,0,0,0,0,13,37.6,2.9,"0.6%",0.51063829787234
"A.T. Perry",2023,"Saints","$794,091",926364,85,12,18,246,20.5,44,5,4,0,0,0,0,10,48.6,4.9,"2.3%",0.666666666666667
"Adam Humphries",2020,"Titans","$9,609,375",7109375,110,23,35,228,9.9,23,2,2,1,0,0,0,7,34.8,5,"0.0%",0.657142857142857
"Adam Humphries",2021,"Commanders","$1,190,000",1190000,110,41,62,383,9.3,27,4,0,0,0,0,0,17,38.3,2.3,"0.0%",0.661290322580645
"Adam Thielen",2020,"Vikings","$12,768,750",1e+07,7,74,108,925,12.5,51,11,14,3,15,0,0,15,180,12,"29.0%",0.685185185185185
"Adam Thielen",2021,"Vikings","$5,941,176",11700000,27,67,95,726,10.8,35,14,10,1,2,0,0,13,132.8,10.2,"29.0%",0.705263157894737
"Adam Thielen",2022,"Vikings","$11,903,529",14353529,36,70,107,716,10.2,36,7,6,1,4,0,0,17,110,6.5,"29.0%",0.654205607476635
"Adam Thielen",2023,"Panthers","$3,332,000",1e+07,30,103,137,1014,9.8,32,9,4,1,6,0,0,17,128,7.5,"29.0%",0.751824817518248
"Albert Wilson",2021,"Dolphins","$5,183,334",2850000,134,25,39,213,8.5,64,1,0,4,17,0,0,10,23,2.3,"0.0%",0.641025641025641
"Alec Pierce",2022,"Colts","$1,200,244",2685976,60,41,78,593,14.5,47,8,2,0,0,0,0,16,71.3,4.5,"22.5%",0.525641025641026
"Alec Pierce",2023,"Colts","$1,500,305",1005061,68,32,65,514,16.1,58,8,2,0,0,0,0,17,63.4,3.7,"22.5%",0.492307692307692
"Alex Bachman",2020,"Giants","$136,682",136682,219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Alex Bachman",2021,"Giants","$146,934",146934,261,0,0,0,0,0,0,0,1,-3,0,0,2,-0.3,-0.2,"0.0%",NA
"Alex Bachman",2022,"Texans","$92,000",92000,220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Alex Erickson",2020,"Bengals","$2,066,668",1800000,161,12,17,139,11.6,42,2,0,5,7,0,2,16,10.6,0.7,"0.0%",0.705882352941177
"Alex Erickson",2021,"Panthers","$802,778",935000,180,3,4,55,18.3,25,1,0,0,0,0,0,17,5.5,0.3,"0.0%",0.75
"Alex Erickson",2022,"Commanders","$417,844",433400,244,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%",NA
"Alex Erickson",2023,"Chargers","$313,333",360000,114,16,29,232,14.5,27,4,1,0,0,0,0,8,29.2,3.7,"0.0%",0.551724137931034
"Allen Hurns",2021,"Dolphins","$2,883,333",1775000,244,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"0.0%",NA
"Allen Lazard",2020,"Packers","$675,000",675000,74,33,46,451,13.7,72,6,3,2,17,0,0,10,64.8,6.5,"29.1%",0.717391304347826
"Allen Lazard",2021,"Packers","$850,000",850000,44,40,60,513,12.8,42,8,8,3,32,0,0,14,102.5,7.3,"29.1%",0.666666666666667
"Allen Lazard",2022,"Packers","$3,986,000",3986000,30,60,100,788,13.1,47,13,6,2,0,0,0,15,114.8,7.7,"29.1%",0.6
"Allen Lazard",2023,"Jets","$3,264,000",1.2e+07,101,23,49,311,13.5,39,5,1,0,0,0,0,14,37.1,2.7,"29.1%",0.469387755102041
"Alshon Jeffery",2020,"Eagles","$14,979,559",11500000,143,6,13,115,19.2,39,3,1,0,0,0,0,7,17.5,2.5,"0.0%",0.461538461538462
"Amari Cooper",2020,"Cowboys","$12,000,000",2e+07,19,92,130,1114,12.1,69,13,5,6,14,0,0,16,144.8,9.1,"93.3%",0.707692307692308
"Amari Cooper",2021,"Cowboys","$22,000,000",2e+07,26,68,104,865,12.7,41,15,8,0,0,0,0,15,134.5,9,"93.3%",0.653846153846154
"Amari Cooper",2022,"Browns","$4,896,000",2e+07,8,78,132,1160,14.9,55,18,9,0,0,0,0,17,169,9.9,"93.3%",0.590909090909091
"Amari Cooper",2023,"Browns","$23,776,000",2e+07,16,72,128,1250,17.4,75,21,5,0,0,0,1,15,155,10.3,"93.3%",0.5625
"Amari Rodgers",2021,"Packers","$890,891",1583564,178,4,8,45,11.3,19,0,0,1,11,0,0,16,5.6,0.4,"0.0%",0.5
"Amari Rodgers",2022,"Texans","$374,544",374544,127,16,25,204,12.8,37,3,1,2,7,0,2,15,23.1,1.5,"0.0%",0.64
"Amon-Ra St. Brown",2021,"Lions","$856,315",1445260,23,90,119,912,10.1,37,11,5,7,61,1,0,16,137.3,8.6,"99.8%",0.756302521008403
"Amon-Ra St. Brown",2022,"Lions","$1,021,315",825000,9,106,146,1161,11,49,11,6,9,95,0,0,16,161.6,10.1,"99.8%",0.726027397260274
"Amon-Ra St. Brown",2023,"Lions","$1,136,315",940000,3,119,164,1515,12.7,70,24,10,4,24,0,1,16,211.9,13.2,"99.8%",0.725609756097561
"Andre Baccellia",2022,"Cardinals","$78,333",78333,174,7,10,45,6.4,11,0,0,0,0,0,0,5,4.5,0.9,"0.0%",0.7
"Andre Baccellia",2023,"Cardinals","$120,000",120000,215,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"0.0%",NA
"Andre Baccellia",2023,"Cardinals","$48,000",48000,215,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"0.0%",NA
"Andre Roberts",2020,"Bills","$1,300,000",1300000,252,4,5,34,8.5,16,0,0,1,-3,0,2,15,-0.9,-0.1,"0.0%",0.8
"Andre Roberts",2021,"Chargers","$716,667",716667,171,1,2,35,35,35,1,0,3,19,0,2,16,7.4,0.5,"0.0%",0.5
"Andre Roberts",2022,"Panthers","$1,750,000",1750000,234,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"0.0%",NA
"Andrei Iosivas",2023,"Bengals","$789,848",909392,104,15,25,116,7.7,16,0,4,0,0,0,0,16,35.6,2.2,"5.1%",0.6
"Andy Isabella",2020,"Cardinals","$1,052,243",705449,112,21,35,224,10.7,54,3,2,1,-6,0,0,13,33.8,2.6,"0.0%",0.6
"Andy Isabella",2021,"Cardinals","$1,262,692",915898,213,1,1,13,13,13,0,0,0,0,0,0,3,1.3,0.4,"0.0%",1
"Andy Isabella",2022,"Ravens","$326,122",326122,189,2,5,21,10.5,11,0,0,1,1,0,0,4,2.2,0.6,"0.0%",0.4
"Andy Isabella",2023,"Bills","$362,044",377600,209,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%",NA
"Anthony Miller",2020,"Bears","$1,460,100",966700,84,49,76,485,9.9,34,4,2,2,12,0,1,16,59.7,3.7,"0.0%",0.644736842105263
"Anthony Miller",2021,"Steelers","$219,111",219111,167,6,12,25,4.2,10,0,1,0,0,0,0,3,8.5,2.8,"0.0%",0.5
"Anthony Schwartz",2021,"Browns","$884,186",1556744,133,10,23,135,13.5,44,1,1,6,39,0,0,13,23.4,1.8,"0.0%",0.434782608695652
"Anthony Schwartz",2022,"Browns","$1,105,233",881047,143,4,10,51,12.8,19,0,0,4,57,1,1,7,14.8,2.1,"0.0%",0.4
"Antoine Green",2023,"Lions","$779,190",866760,204,1,2,2,2,2,0,0,0,0,0,0,9,0.2,0,"0.0%",0.5
"Antoine Wesley",2021,"Cardinals","$619,167",660000,109,19,32,208,10.9,33,4,3,0,0,0,0,8,38.8,4.9,"0.0%",0.59375
"Antonio Brown",2020,"Buccaneers","$1,000,000",2e+06,66,45,62,483,10.7,46,6,4,2,-2,0,0,8,72.1,9,"0.8%",0.725806451612903
"Antonio Gandy-Golden",2020,"Commanders","$733,600",1104400,195,1,7,3,3,3,0,0,1,22,0,0,6,2.5,0.4,"0.0%",0.142857142857143
"Antonio Gandy-Golden",2021,"Commanders","$9,200",9200,228,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Ashton Dulin",2020,"Colts","$630,882",630882,175,3,6,53,17.7,34,1,0,2,11,0,0,13,6.4,0.5,"0.0%",0.5
"Ashton Dulin",2021,"Colts","$850,000",850000,121,13,22,173,13.3,62,2,2,3,32,0,0,16,32.5,2,"0.0%",0.590909090909091
"Ashton Dulin",2022,"Colts","$2,433,000",2433000,121,15,22,207,13.8,39,2,1,2,8,0,0,10,27.5,2.8,"0.0%",0.681818181818182
"Auden Tate",2020,"Bengals","$750,000",750000,153,14,22,150,10.7,19,0,0,0,0,0,0,9,15,1.7,"0.0%",0.636363636363636
"Auden Tate",2021,"Bengals","$920,000",920000,164,3,4,39,13,18,0,1,0,0,0,0,4,9.9,2.5,"0.0%",0.75
"Austin Carr",2020,"Saints","$97,059",97059,170,3,4,27,9,11,0,1,0,0,0,0,6,8.7,1.5,"0.0%",0.75
"Austin Mack",2020,"Giants","$430,588",430588,167,7,11,91,13,50,1,0,0,0,0,0,11,9.1,0.8,"0.0%",0.636363636363636
"Austin Trammell",2022,"Rams","$235,000",235000,202,2,4,13,6.5,8,0,0,0,0,0,0,2,1.3,0.7,"0.0%",0.5
"Austin Trammell",2023,"Rams","$676,667",676667,199,4,7,29,7.3,14,0,0,0,0,0,1,15,0.9,0.1,"0.0%",0.571428571428571
"Binjimen Victor",2022,"Ravens","$57,500",57500,216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Bo Melton",2023,"Packers","$41,667",41667,113,16,24,218,13.6,37,3,1,3,21,0,0,4,29.9,7.5,"0.6%",0.666666666666667
"Brandin Cooks",2020,"Texans","$8,000,000",8e+06,16,81,119,1150,14.2,57,20,6,0,0,0,0,15,151,10.1,"20.8%",0.680672268907563
"Brandin Cooks",2021,"Texans","$5,647,059",13147059,21,90,134,1037,11.5,52,12,6,2,21,0,0,16,141.8,8.9,"20.8%",0.671641791044776
"Brandin Cooks",2022,"Texans","$9,749,847",18382353,48,57,93,699,12.3,44,13,3,2,7,0,0,13,88.6,6.8,"20.8%",0.612903225806452
