"Player","Year","Team","Cap.Number","Cash.Spent","Rank","ATT","YDS","Y.A","LG","X20.","TD","REC","TGT","YDS.1","Y.R","TD.1","FL","G","FPTS","FPTS.G","ROST"
"Aaron Jones",2020,"Packers","$2,182,002",2133000,5,201,1104,5.5,77,6,9,47,63,355,7.6,2,0,14,211.9,15.1,"96.7%"
"Aaron Jones",2021,"Packers","$4,464,706",14250000,13,171,799,4.7,57,5,4,52,65,391,7.5,6,1,15,177,11.8,"96.7%"
"Aaron Jones",2022,"Packers","$5,948,000",5750000,11,213,1121,5.3,36,6,2,59,72,395,6.7,5,3,17,189.6,11.2,"96.7%"
"Aaron Jones",2023,"Packers","$8,197,000",10682353,36,142,656,4.6,39,3,2,30,43,233,7.8,1,1,11,104.9,9.5,"96.7%"
"Adrian Peterson",2020,"Lions","$1,050,000",1050000,33,156,604,3.9,38,4,7,12,18,101,8.4,0,0,16,112.5,7,"2.4%"
"Adrian Peterson",2021,"Seahawks","$115,722",115722,97,38,98,2.6,16,0,2,4,4,8,2,0,0,4,22.6,5.7,"2.4%"
"Alec Ingold",2020,"Raiders","$678,333",675000,99,3,4,1.3,3,0,0,12,17,110,9.2,1,0,16,17.4,1.1,"0.1%"
"Alec Ingold",2021,"Raiders","$853,334",850000,110,2,1,0.5,1,0,0,10,12,85,8.5,1,0,7,14.6,2.1,"0.1%"
"Alex Collins",2020,"Seahawks","$217,587",217587,94,18,77,4.3,13,0,2,1,2,4,4,0,0,3,20.1,6.7,"19.0%"
"Alex Collins",2021,"Seahawks","$850,000",990000,62,108,411,3.8,25,2,2,9,10,87,9.7,0,1,11,59.8,5.4,"19.0%"
"Alexander Mattison",2020,"Vikings","$880,545",675000,50,96,434,4.5,25,4,2,13,15,125,9.6,1,0,13,73.9,5.7,"57.3%"
"Alexander Mattison",2021,"Vikings","$1,055,545",850000,40,134,491,3.7,48,2,3,32,39,228,7.1,1,1,16,93.9,5.9,"57.3%"
